Name,State,ID,Longitude,Latitude,geometry
Beagle Springs,Montana,318,-112.98191000000001,44.471470000000004,POINT (-112.98191 44.47147)
Bear Basin,Idaho,319,-116.14293,44.952220000000004,POINT (-116.14293 44.95222)
Bear Canyon,Idaho,320,-113.93796999999999,43.74367,POINT (-113.93797 43.74367)
Bear Creek,Nevada,321,-115.45278,41.83384,POINT (-115.45278 41.83384)
Bear Grass,Oregon,1166,-122.0938,44.3253,POINT (-122.0938 44.3253)
Bear Lake,Colorado,322,-105.64483,40.31118,POINT (-105.64483 40.31118)
Bear Mountain,Idaho,323,-116.07448000000001,48.30577,POINT (-116.07448 48.30577)
Bear River,Colorado,1061,-107.00955,40.06153,POINT (-107.00955 40.06153)
Bear River RS,Utah,992,-110.8277,40.8852,POINT (-110.8277 40.8852)
Bear Saddle,Idaho,324,-116.98097,44.60533,POINT (-116.98097 44.60533)
Bear Trap Meadow,Wyoming,325,-107.06135,43.88743,POINT (-107.06135 43.88743)
Beartooth Lake,Wyoming,326,-109.56743,44.94307,POINT (-109.56743 44.94307)
Beartown,Colorado,327,-107.51212,37.71409,POINT (-107.51212 37.71409)
Beaver Ck Village,Colorado,1041,-106.51142,39.59917,POINT (-106.51142 39.59917)
Beaver Creek,Montana,328,-111.35852,44.949659999999994,POINT (-111.35852 44.94965999999999)
Beaver Dams,Utah,329,-111.55813,39.136829999999996,POINT (-111.55813 39.13683)
Beaver Divide,Utah,330,-111.09782,40.61233,POINT (-111.09782 40.61233)
Beaver Head,Arizona,902,-109.21656999999999,33.69144,POINT (-109.21657 33.69144)
Beaver Pass,Washington,990,-121.2555,48.8793,POINT (-121.2555 48.8793)
Beaver Reservoir,Oregon,331,-118.219,45.14532,POINT (-118.219 45.14532)
Beaver Spring,Arizona,1143,-109.05711000000001,36.32678,POINT (-109.05711 36.32678)
Ben Lomond Peak,Utah,332,-111.94405,41.37603,POINT (-111.94405 41.37603)
Ben Lomond Trail,Utah,333,-111.92103,41.382909999999995,POINT (-111.92103 41.38291)
Berry Creek,Nevada,334,-114.62278,39.31917,POINT (-114.62278 39.31917)
Berthoud Summit,Colorado,335,-105.77788999999999,39.80392,POINT (-105.77789 39.80392)
Bettles Field,Alaska,1182,-151.53333,66.91667,POINT (-151.53333 66.91667)
Bevans Cabin,Utah,1214,-112.25233,40.46182,POINT (-112.25233 40.46182)
Big Bend,Nevada,336,-115.6931,41.76168,POINT (-115.6931 41.76168)
Big Creek Sum,Nevada,337,-117.11506000000001,39.29148,POINT (-117.11506 39.29148)
Big Creek Summit,Idaho,338,-115.79561000000001,44.62621,POINT (-115.79561 44.62621)
Big Flat,Utah,339,-112.35672,38.301829999999995,POINT (-112.35672 38.30183)
Big Flat,California,BFL,-122.94200000000001,41.08,POINT (-122.942 41.08)
Big Goose,Wyoming,931,-107.20068,44.579240000000006,POINT (-107.20068 44.57924000000001)
Big Meadow,Nevada,340,-119.9422,39.455,POINT (-119.9422 39.455)
Big Meadows,California,BIM,-118.84200000000001,36.717,POINT (-118.842 36.717)
Big Pine Creek,California,BGP,-118.475,37.128,POINT (-118.475 37.128)
Big Red Mountain,Oregon,341,-122.85486999999999,42.05257,POINT (-122.85487 42.05257)
Big Sandy Opening,Wyoming,342,-109.25965,42.6458,POINT (-109.25965 42.6458)
Bigelow Camp,Oregon,343,-123.34393,42.07875,POINT (-123.34393 42.07875)
Billie Creek Divide,Oregon,344,-122.26616999999999,42.40717,POINT (-122.26617 42.40717)
