Name,ID,Elevation_ft,Latitude,Longitude,HUC
Laurel Draw,"573	",6682,41.77637,-116.02957,"170501040202	"
Leavitt Lake,"574	",9604,38.27594,-119.61281,"160503020104	"
Leavitt Meadows,"575	",7198,38.30367,-119.55111,"160503020104	"
Lee Canyon,"1112	",8626,36.30537,-115.67508,"150100150206	"
Lemhi Ridge,"576	",8100,44.9938,-113.44399,"100200011106	"
Lewis Lake Divide,"577	",7850,44.20862,-110.66628,"170401010104	"
Lewis Peak,"1006	",7400,40.35757,-116.86492,"160401070903	"
Lick Creek,"578	",6860,45.5041,-110.96625,"100200081001	"
Lightning Ridge,"1056	",8215,41.35891,-111.48749,"160201020201	"
Lily Lake,"579	",9133,40.86493,-110.79813,"160101010103	"
Lily Pond,"580	",11000,37.37929,-106.54835,"130100020302	"
Little Bear,"582	",6548,41.40562,-111.82607,"160102030103	"
Little Chena Ridge,"947	",2000,65.12422,-146.7339,"190803060706	"
Little Goose,"1131	",8870,44.54315,-107.17865,"100901010105	"
Little Grassy,"583	",6065,37.48631,-113.84582,"160300061302	"
Little Meadows,"584	",4020,44.61297,-122.22565,"170900060301	"
Little Snake River,"1047	",8915,41.07053,-106.94283,"140500030103	"
Little Valley,"1242	",6493,39.25259,-119.8771,"160501020301	"
Little Warm,"585	",9370,43.50278,-109.752,"100800010212	"
Lizard Head Pass,"586	",10200,37.79926,-107.92426,"140300020201	"
Lobdell Lake,"587	",9249,38.43745,-119.36572,"160503020201	"
Lolo Pass,"588	",5240,46.63448,-114.58072,"170102051401	"
Lone Cone,"589	",9600,37.89183,-108.19544,"140300030302	"
Lone Mountain,"590	",8880,45.27412,-111.42692,"100200080201	"
Lone Pine,"591	",3930,46.27143,-121.96288,"170800020203	"
Lonesome Beaver,"1261	",9410,38.07,-110.77241,"140700010301	"
Long Draw Resv,"1123	",9980,40.5123,-105.7656,"101900070203	"
Long Flat,"592	",7982,37.51255,-113.39661,"160300061403	"
Long Lake,"1001	",850,58.186,-133.83217,"190102060505	"
Long Valley,"1016	",4890,44.78835,-116.08878,"170501230206	"
Long Valley Jct,"593	",7465,37.48756,-112.51458,"150100080201	"
Lookout,"594	",5190,47.45749,-115.70457,"170103020101	"
Lookout Mountain,"595	",8500,33.36027,-107.83122,"150400010402	"
Lookout Peak,"596	",8161,40.83731,-111.70965,"160202040302	"
Loomis Park,"597	",8240,43.17387,-110.14007,"140401010201	"
Lost Creek Resv,"1118	",6082,41.22155,-111.35947,"160201010603	"
Lost Dog,"940	",9320,40.81588,-106.74835,"140500010203	"
Lost Horse,"599	",5120,46.3575,-121.08095,"170300030302	"
Lost Lake,"600	",6110,47.0809,-115.9604,"170603080101	"
Lost-Wood Divide,"601	",7900,43.82432,-114.26402,"170402190304	"
Louis Meadow,"972	",6700,40.83033,-111.76457,"160202040304	"
Loveland Basin,"602	",11400,39.67433,-105.90133,"101900040102	"
Lower Kibbie Ridge,"KIB	",6700,38.032,-119.877,"180400090303	"
Lower Lassen Peak,"LLP	",8250,40.468,-121.507,"180201560301	"
Lower Relief Valley,"REL	",8100,38.243,-119.758,"180400100201	"
Lower Twin,"603	",7900,45.50871,-111.92288,"100200071101	"
Lu Lake,"4B15P	",4291,54.18333,-126.3,"	"
Lubrecht Flume,"604	",4680,46.88293,-113.32228,"170102031204	"
Lucky Strike,"605	",4970,45.27478,-118.8479,"170701030606	"
Lye Brook,"2042	",2435,43.05,-73.03333,"020200030202	"
Lyman Lake,"606	",5980,48.19798,-120.91678,"170200090203	"
Lynn Lake,"1069	",3900,47.20172,-121.77972,"171100130203	"
Lynx Pass,"607	",8880,40.07806,-106.67028,"140100011001	"
MF Nooksack,"1011	",4970,48.82453,-121.92951,"171100040303	"
Madison Butte,"608	",5150,45.10513,-119.49585,"170702041101	"
Madison Plateau,"609	",7750,44.58623,-111.11627,"100200070204	"
Magic Mountain,"610	",6880,42.18072,-114.28662,"170402120601	"
Mahantango Ck,"2028	",730,40.66667,-76.66667,"020503010801	"
Mammoth Pass,"MHP	",9300,37.61,-119.033,"180901020204	"
Mammoth-Cottonwood,"612	",8709,39.68338,-111.31818,"160300040203	"
Mancos,"905	",10000,37.43087,-108.16954,"140801070102	"
Many Glacier,"613	",4900,48.79698,-113.6705,"090400010201	"
Marion Forks,"614	",2590,44.59397,-121.97365,"170900050205	"
Marlette Lake,"615	",7884,39.16395,-119.89672,"160501010201	"
Marquette,"616	",8760,44.3016,-109.24019,"100800130303	"
Marten Ridge,"999	",3520,48.76292,-121.69823,"171100051004	"
Mascoma River,"2043	",1400,43.78333,-72.03333,"010801060101	"
Maverick Fork,"617	",9200,33.92121,-109.45881,"150601010104	"
May Creek,"1096	",1610,61.34783,-142.70967,"190201031603	"
Mc Clure Pass,"618	",9500,39.12897,-107.28806,"140200040203	"
McBride Upper,"1A02P	",5276,53.3,-120.31667,"	"
Mccoy Park,"1040	",9480,39.60468,-106.54128,"140100030302	"
Mckenzie,"619	",4770,44.2103,-121.87292,"170900040207	"
Mcknight Cabin,"1048	",9240,33.00812,-107.86975,"130302020103	"
Mcneil Canyon,"1003	",1320,59.74433,-151.25133,"190203010806	"
Meadow Lake,"620	",9150,44.43655,-113.31815,"170602040101	"
Meadow Lake,"MDW	",7200,39.417,-120.508,"180201250601	"
Meadows Pass,"897	",3230,47.28312,-121.47197,"171100120101	"
Med Bow,"1196	",10500,41.37833,-106.34681,"101800040302	"
Medano Pass,"914	",9649,37.85164,-105.43614,"130100030604	"
Medicine Lake,"MED	",6700,41.587,-121.613,"180200030301	"
Merchant Valley,"621	",8705,38.30285,-112.43637,"160300070201	"
Mesa Lakes,"622	",10000,39.05831,-108.05835,"140100051307	"
Mica Creek,"623	",4510,47.15045,-116.26643,"170103040604	"
Michigan Creek,"937	",10600,39.43577,-105.91078,"101900010404	"
Middle Boulder 3,"MB3	",6200,41.225,-122.811,"180102080201	"
Middle Creek,"624	",11250,37.61978,-107.03482,"130100010501	"
Middle Fork Camp,"1014	",8940,39.7956,-106.0273,"140100010402	"
Middle Powder,"625	",7760,43.62728,-107.18138,"100800080205	"
Midway Valley,"626	",9827,37.56933,-112.83849,"160300010101	"
Milk Shakes,"1079	",5580,45.9821,-117.94883,"170701020201	"
Mill Creek Summit,"627	",8800,44.47212,-114.48992,"170602010501	"
Mill-D North,"628	",8963,40.65883,-111.63683,"160202040201	"
Miller Woods,"1084	",420,45.24755,-123.27563,"170900080606	"
Mineral Creek,"629	",10040,37.84747,-107.72657,"140801040103	"
Mining Fork,"631	",8295,40.49384,-112.61141,"160203040503	"
Mission Creek,"2F05P	",5886,49.93333,-118.93333,"170200060703	"
Mission Ridge,"1C18P	",6243,50.75,-122.2,"	"
Mitchell Meadow,"MTM	",9900,36.737,-118.712,"180300100401	"
Molas Lake,"632	",10500,37.74932,-107.68866,"140801040302	"
Molson Creek,"2A21P	",6332,52.21667,-118.21667,"170200190000	"
Monitor Pass,"633	",8306,38.6683,-119.6087,"160502010201	"
Monte Cristo,"634	",8932,41.46547,-111.49688,"160102030201	"
Monument Creek,"949	",1850,65.07833,-145.87067,"190803060402	"
Monument Peak,"635	",8850,45.21759,-110.237,"100700020902	"
Moon Pass,"1124	",11140,37.96661,-106.55837,"130100040201	"
Moonshine,"636	",7440,44.4147,-113.39812,"170402170201	"
Moose Creek,"638	",6200,45.67008,-113.95315,"170602030601	"
Moraine,"1035	",2100,61.37727,-148.99917,"190204010103	"
Mores Creek Summit,"637	",6100,43.932,-115.66588,"170501110503	"
Morgan Creek,"639	",7600,44.84237,-114.26871,"170602030901	"
Mormon Mountain,"640	",7500,34.94109,-111.51849,"150200150201	"
Mormon Mtn Summit,"1125	",8500,34.96964,-111.50922,"150200150202	"
Morrissey Ridge,"2C09Q	",6102,49.45,-114.96667,"170101060804	"
Morse Lake,"642	",5410,46.90585,-121.4827,"170300020106	"
Mosby Mtn.,"643	",9553,40.60798,-109.8881,"140600100702	"
Moscow Mountain,"989	",4700,46.805,-116.8535,"170603061002	"
Moses Mtn,"644	",5010,48.36163,-119.08159,"170200061903	"
Mosley Creek Upper,"3A24P	",5430,51.76667,-124.61667,"	"
Mosquito Ridge,"645	",5260,48.05726,-116.23055,"170103010101	"
Moss Peak,"646	",6780,47.68493,-113.9623,"170102080404	"
Moss Springs,"647	",5760,45.27173,-117.68747,"170601040702	"
Mount Cook,"1E02P	",5164,52.16667,-119.31667,"	"
Mount Crag,"648	",3960,47.7637,-123.026,"171100180601	"
Mount Gardner,"898	",2920,47.35768,-121.56812,"171100120103	"
Mount Lockhart,"649	",6400,47.91727,-112.8238,"100302050102	"
Mount Mansfield,"2041	",2236,44.53333,-72.83333,"041504050201	"
Mount Pondosy,"1B08P	",4636,53.15,-126.86667,"	"
Mount Revelstoke,"2A06P	",5807,51.03333,-118.13333,"170200210000	"
Mount Wells,"1B01P	",4885,53.71667,-126.41667,"	"
Mountain Meadows,"650	",6320,45.69694,-115.22972,"170603020301	"
Mowich,"941	",3160,46.92833,-121.95232,"171100140105	"
Moyie Mountain,"2C10P	",6037,49.25,-115.76667,"170101050304	"
Mt Baldy,"1224	",9524,39.13648,-111.50527,"160300040402	"
Mt Hood Test Site,"651	",5370,45.32097,-121.7158,"170800010302	"
Mt Pennell,"1269	",9209,37.97793,-110.7933,"140700010502	"
Mt Rose Ski Area,"652	",8801,39.31573,-119.89473,"160501020304	"
Mt. Alyeska,"1103	",1540,60.95983,-149.08617,"190203020702	"
Mt. Eyak,"1073	",1405,60.55,-145.745,"190202010200	"
Mt. Howard,"653	",7910,45.26522,-117.17373,"170601050102	"
Mt. Ryan,"948	",2800,65.25113,-146.15133,"190803060404	"
Muckamuck,"1259	",4470,48.58526,-119.86624,"170200062001	"
Mud Flat,"654	",5730,42.6004,-116.55925,"170501041401	"
Mud Ridge,"655	",4070,45.25362,-121.73673,"170800010302	"
Mule Creek,"656	",8300,45.40957,-112.95927,"100200041303	"
Mumbo Basin,"MUM	",5650,41.197,-122.523,"180102110301	"
Munson Ridge,"950	",3100,64.85033,-146.20945,"190803060602	"
Myrtle Creek,"1053	",3520,48.72263,-116.46312,"170101040701	"
N Fk Elk Creek,"657	",6250,46.8716,-113.27725,"170102031204	"
Nast Lake,"658	",8700,39.29722,-106.60694,"140100040504	"
Navajo Whiskey Ck,"1138	",9050,36.17728,-108.94691,"140802040206	"
Nevada Ridge,"903	",7020,46.84234,-112.50787,"170102030302	"
Never Summer,"1031	",10280,40.40405,-105.95583,"101800010401	"
New Crescent Lake,"660	",4910,43.51185,-121.97982,"170703020205	"
New Fork Lake,"661	",8340,43.11265,-109.94947,"140401020201	"
Nez Perce Camp,"662	",5650,45.73107,-114.48075,"170102050204	"
Niwot,"663	",9910,40.03523,-105.54426,"101900050401	"
Noel Spring,"NLS	",5100,39.538,-122.667,"180201150402	"
Noisy Basin,"664	",6040,48.15678,-113.94637,"170102080208	"
North Costilla,"665	",10600,36.99378,-105.25963,"130201010101	"
North Fork,"666	",3060,45.5505,-122.00283,"170800010503	"
North Fork Jocko,"667	",6330,47.2726,-113.75617,"170102120702	"
North French Creek,"668	",10130,41.3308,-106.37555,"101800020502	"
North Lost Trail,"669	",9200,39.07813,-107.14389,"140100040703	"
North Rapid Creek,"920	",6130,44.20617,-103.78758,"101201100101	"
Northeast Entrance,"670	",7350,45.00565,-110.01406,"100700010602	"
Nostetuko River,"3A22P	",4780,51.23333,-124.45,"	"
Nutrioso,"1127	",8500,33.89747,-109.15517,"150400040301	"
ONeil Creek,"1272	",6520,41.8642,-115.08316,"170402130106	"
Oak Creek,"1146	",7850,39.3485,-112.32639,"160300051505	"
Ochoco Meadows,"671	",5430,44.42917,-120.3311,"170703050201	"
Olallie Meadows,"672	",4030,47.37406,-121.44213,"171100100301	"
Old Battle,"673	",10000,41.15397,-106.96937,"101800020901	"
Onion Park,"1008	",7410,46.91348,-110.8536,"100301030801	"
Ostrander Lake,"STR	",8200,37.637,-119.55,"180400080106	"
Overland Res.,"675	",9840,39.09056,-107.63472,"140200040101	"
Owl Creek,"676	",8975,43.65868,-109.00988,"100800070103	"
Oxford Spring,"677	",6740,42.26015,-112.12515,"160102040206	"
Palo,"1170	",9350,36.40848,-105.33063,"130201010601	"
